watch (a person),1
martial art,2
stand,3
carry/hold (an object),4
walk,5
sit,6
bend/bow (at the waist),7
hug (a person),8
hit (an object),9
listen to (a person),10
"talk to (e.g., self, a person, a group)",11
"ride (e.g., a bike, a car, a horse)",12
"listen (e.g., to music)",13
touch (an object),14
drink,15
hand clap,16
play musical instrument,17
eat,18
dance,19
lie/sleep,20
smoke,21
shoot,22
"close (e.g., a door, a box)",23
answer phone,24
"watch (e.g., TV)",25
run/jog,26
kick (an object),27
fight/hit (a person),28
"open (e.g., a window, a car door)",29
